-2.0000	4.4161
-1.9000	3.9333
-1.8000	3.4672
-1.7000	3.0188
-1.6000	2.5892
-1.5000	2.1793
-1.4000	1.7900
-1.3000	1.4225
-1.2000	1.0776
-1.1000	0.7564
-1.0000	0.4597
-0.9000	0.1884
-0.8000	-0.0567
-0.7000	-0.2748
-0.6000	-0.4653
-0.5000	-0.6276
-0.4000	-0.7611
-0.3000	-0.8653
-0.2000	-0.9401
-0.1000	-0.9850
0.0000	-1.0000
0.1000	-0.9850
0.2000	-0.9401
0.3000	-0.8653
0.4000	-0.7611
0.5000	-0.6276
0.6000	-0.4653
0.7000	-0.2748
0.8000	-0.0567
0.9000	0.1884
1.0000	0.4597
1.1000	0.7564
1.2000	1.0776
1.3000	1.4225
1.4000	1.7900
1.5000	2.1793
1.6000	2.5892
1.7000	3.0188
1.8000	3.4672
1.9000	3.9333
